register_signature,samples,poll_min_s,poll_avg_s,poll_median_s,poll_p95_s,poll_max_s,poll_std_s
fc3:unit1:reg0:qty100:serverPRIVATE_IP_017,299,0.9494588375091553,1.0005453765192958,1.000284194946289,1.0055506229400635,1.052459955215454,0.008426147767632187
fc3:unit1:reg0:qty100:serverPRIVATE_IP_018,299,0.9942667484283447,1.0005076099000247,1.000455379486084,1.0040783882141113,1.0092008113861084,0.0022511902355503576
fc3:unit1:reg0:qty100:serverPRIVATE_IP_019,299,0.9926333427429199,1.0005078435342847,1.00042724609375,1.0036489963531494,1.0071690082550049,0.0018368492958880816
fc3:unit1:reg0:qty100:serverPRIVATE_IP_020,299,0.9497101306915283,1.0004992166091766,1.0002787113189697,1.0079972743988037,1.053170919418335,0.01100461079349842
fc3:unit1:reg0:qty86:serverPRIVATE_IP_021,299,0.9891805648803711,1.000462637298482,1.0002107620239258,1.0048985481262207,1.012805700302124,0.002296425078760116
fc4:unit1:reg0:qty30:serverPRIVATE_IP_025,299,0.9494528770446777,1.0005022737892177,1.0002827644348145,1.005758285522461,1.052515983581543,0.009257225706500886
fc3:unit1:reg94:qty86:serverPRIVATE_IP_021,299,0.9787042140960693,1.0004792412786578,1.0005178451538086,1.0078306198120117,1.02805757522583,0.005124379684508284
fc3:unit1:reg101:qty33:serverPRIVATE_IP_015,298,0.9876229763031006,1.0005284963838206,1.0006355047225952,1.008289098739624,1.015747308731079,0.004648288145630222
fc3:unit1:reg125:qty88:serverPRIVATE_IP_015,298,0.9886698722839355,1.0005108734105257,1.0003595352172852,1.0063936710357666,1.0135741233825684,0.0036052834299297523
fc3:unit1:reg1:qty124:serverPRIVATE_IP_015,298,0.9914505481719971,1.000531774239252,1.0007528066635132,1.0053977966308594,1.0105230808258057,0.0034122767796930594
fc3:unit1:reg300:qty22:serverPRIVATE_IP_015,298,0.9925386905670166,1.0005128143617772,1.0003690719604492,1.0031061172485352,1.0081677436828613,0.001665746385569949
fc3:unit1:reg0:qty75:serverPRIVATE_IP_021,149,1.9849376678466797,2.000938559538566,2.0006210803985596,2.008082628250122,2.015082836151123,0.00414304405434568
fc3:unit1:reg0:qty22:serverPRIVATE_IP_012,149,1.9893074035644531,2.001015043898717,2.0004806518554688,2.009950876235962,2.0177087783813477,0.004774922710758631
fc3:unit1:reg0:qty22:serverPRIVATE_IP_009,149,1.9896459579467773,2.001014938290487,2.0005340576171875,2.0099642276763916,2.0177085399627686,0.004740083094703261
fc3:unit1:reg0:qty22:serverPRIVATE_IP_014,149,1.9896376132965088,2.0010149206891157,2.000574827194214,2.008823871612549,2.0177149772644043,0.004500611010247247
fc3:unit1:reg0:qty22:serverPRIVATE_IP_013,149,1.989637851715088,2.0009401164598914,2.0004963874816895,2.0088508129119873,2.017709970474243,0.00423422950491799
fc3:unit1:reg0:qty76:serverPRIVATE_IP_019,149,1.9896340370178223,2.000956487335615,2.0004537105560303,2.0079777240753174,2.0176925659179688,0.003984196145536854
fc3:unit1:reg215:qty1:serverPRIVATE_IP_015,149,1.9851858615875244,2.0009172170754246,2.0009658336639404,2.0106523036956787,2.0167999267578125,0.005497011331517308
fc3:unit1:reg1:qty1:serverPRIVATE_IP_015,149,1.990515947341919,2.000917573903231,2.0003437995910645,2.007338285446167,2.015073299407959,0.003819286468435347
fc3:unit1:reg1:qty1:serverPRIVATE_IP_016,149,1.9905056953430176,2.000989173082697,2.00030517578125,2.0084564685821533,2.0192954540252686,0.004025905270103976
fc3:unit1:reg24:qty1:serverPRIVATE_IP_017,149,1.9904956817626953,2.000955970495339,2.000455379486084,2.008016347885132,2.019291877746582,0.004097784955477975
fc3:unit1:reg53:qty1:serverPRIVATE_IP_018,149,1.9899547100067139,2.000956208913918,2.0004594326019287,2.0074338912963867,2.0192811489105225,0.004056827526942623
fc3:unit1:reg3:qty1:serverPRIVATE_IP_021,149,1.9872663021087646,2.0009618125505897,2.001173734664917,2.011032819747925,2.0150644779205322,0.005311293068677713
fc3:unit1:reg94:qty75:serverPRIVATE_IP_021,149,1.991959571838379,2.001084332498128,2.0004141330718994,2.0081911087036133,2.0128633975982666,0.0034352525447980996
fc3:unit1:reg97:qty1:serverPRIVATE_IP_021,149,1.9856078624725342,2.0009649535953598,2.0014243125915527,2.0117337703704834,2.0192413330078125,0.006926135774199864
