src_ip,dst_ip,direction,packets,payload_bytes,syn_count,fin_count,rst_count,probable_retransmissions
PRIVATE_IP_001,PRIVATE_IP_016,query,4794,17952,600,600,0,0
PRIVATE_IP_001,PRIVATE_IP_022,query,3450,14400,300,300,0,0
PRIVATE_IP_016,PRIVATE_IP_001,response,3315,173730,600,600,0,0
PRIVATE_IP_022,PRIVATE_IP_001,response,2112,159600,300,300,0,0
PRIVATE_IP_001,PRIVATE_IP_019,query,2100,5400,300,300,0,0
PRIVATE_IP_001,PRIVATE_IP_018,query,2100,5400,300,300,0,0
PRIVATE_IP_001,PRIVATE_IP_021,query,1800,3600,300,300,0,0
PRIVATE_IP_018,PRIVATE_IP_001,response,1354,64350,300,300,0,0
PRIVATE_IP_019,PRIVATE_IP_001,response,1354,64350,300,300,0,0
PRIVATE_IP_021,PRIVATE_IP_001,response,1204,62700,300,300,0,0
PRIVATE_IP_001,PRIVATE_IP_020,query,900,5400,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_026,query,600,3600,0,0,0,0
PRIVATE_IP_020,PRIVATE_IP_001,response,457,86850,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_014,query,300,1800,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_015,query,300,1800,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_013,query,300,1800,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_010,query,300,1800,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_017,query,300,1800,0,0,0,0
PRIVATE_IP_010,PRIVATE_IP_001,response,300,7950,0,0,0,0
PRIVATE_IP_017,PRIVATE_IP_001,response,300,1350,0,0,0,0
PRIVATE_IP_014,PRIVATE_IP_001,response,300,7950,0,0,0,0
PRIVATE_IP_013,PRIVATE_IP_001,response,300,7950,0,0,0,0
PRIVATE_IP_015,PRIVATE_IP_001,response,300,7950,0,0,0,0
PRIVATE_IP_026,PRIVATE_IP_001,response,300,20700,0,0,0,0
PRIVATE_IP_001,PRIVATE_IP_011,query,169,0,169,0,0,0
PRIVATE_IP_001,PRIVATE_IP_012,query,168,0,168,0,0,0
PRIVATE_IP_001,PRIVATE_IP_023,query,75,0,75,0,0,0
PRIVATE_IP_023,PRIVATE_IP_001,response,75,0,0,0,75,0
