register_signature,server_ip,unit_id,function_code,function_name,start_addr,quantity,samples,mean_poll_interval_ms,median_poll_interval_ms,jitter_std_ms,p95_poll_interval_ms
PRIVATE_IP_017|U1|FC3|addr=0|qty=100,PRIVATE_IP_017,1,3,Read Holding Registers,0.0,100.0,498,1000.6477957269752,1000.4172325134277,13.32736286327678,1018.248975276947
PRIVATE_IP_019|U1|FC3|addr=0|qty=100,PRIVATE_IP_019,1,3,Read Holding Registers,0.0,100.0,498,1000.4836742178982,1000.2601146697998,2.3747602744733127,1003.8948893547058
PRIVATE_IP_018|U1|FC3|addr=0|qty=100,PRIVATE_IP_018,1,3,Read Holding Registers,0.0,100.0,498,1000.4902872215791,1000.4007816314697,2.5310241213355225,1002.9331207275391
PRIVATE_IP_015|U1|FC3|addr=125|qty=88,PRIVATE_IP_015,1,3,Read Holding Registers,125.0,88.0,498,1000.5128517687082,1000.4233121871948,4.883911187615327,1009.2793822288513
PRIVATE_IP_015|U1|FC3|addr=301|qty=22,PRIVATE_IP_015,1,3,Read Holding Registers,301.0,22.0,498,1000.5269222948924,1000.296950340271,3.0605440396925037,1005.6185126304626
PRIVATE_IP_025|U1|FC4|addr=0|qty=30,PRIVATE_IP_025,1,4,Read Input Registers,0.0,30.0,498,1000.5268456945457,1000.2462863922119,3.017360177391073,1005.5776834487915
PRIVATE_IP_020|U1|FC3|addr=0|qty=100,PRIVATE_IP_020,1,3,Read Holding Registers,0.0,100.0,498,1000.4902709440055,1000.426173210144,2.6900602050776645,1002.5938987731934
PRIVATE_IP_015|U1|FC3|addr=2|qty=123,PRIVATE_IP_015,1,3,Read Holding Registers,2.0,123.0,498,1000.5164443249683,1000.3564357757568,3.9727269091571014,1007.1674346923828
PRIVATE_IP_018|U1|FC3|addr=53|qty=1,PRIVATE_IP_018,1,3,Read Holding Registers,53.0,1.0,249,2001.0597523915242,2000.4067420959473,4.516261694707112,2009.7949981689453
PRIVATE_IP_016|U1|FC3|addr=1|qty=1,PRIVATE_IP_016,1,3,Read Holding Registers,1.0,1.0,249,2001.0553210614676,2000.3995895385742,3.9341702281887287,2008.5760593414307
PRIVATE_IP_017|U1|FC3|addr=24|qty=1,PRIVATE_IP_017,1,3,Read Holding Registers,24.0,1.0,249,2001.0598625045225,2000.4031658172607,4.369570919495724,2009.393548965454
PRIVATE_IP_019|U1|FC3|addr=0|qty=76,PRIVATE_IP_019,1,3,Read Holding Registers,0.0,76.0,249,2001.0599563399471,2000.3838539123535,4.028840749903139,2008.8603496551514
PRIVATE_IP_012|U1|FC3|addr=0|qty=22,PRIVATE_IP_012,1,3,Read Holding Registers,0.0,22.0,249,2001.0292711985637,2000.4973411560059,3.086721478335645,2007.113790512085
PRIVATE_IP_021|U1|FC3|addr=94|qty=75,PRIVATE_IP_021,1,3,Read Holding Registers,94.0,75.0,249,2001.0553181889545,2000.2861022949219,3.651239439078461,2008.2855224609375
PRIVATE_IP_021|U1|FC3|addr=0|qty=75,PRIVATE_IP_021,1,3,Read Holding Registers,0.0,75.0,248,2001.047610275207,2000.6067752838135,3.5397129043354587,2007.9822182655334
PRIVATE_IP_009|U1|FC3|addr=0|qty=22,PRIVATE_IP_009,1,3,Read Holding Registers,0.0,22.0,248,2001.0554088700203,2000.5788803100586,3.6371018271792086,2007.7670693397522
PRIVATE_IP_022|U1|FC3|addr=0|qty=36,PRIVATE_IP_022,1,3,Read Holding Registers,0.0,36.0,248,2001.0557924547504,2000.475525856018,4.2308891579386145,2007.9680681228638
PRIVATE_IP_021|U1|FC3|addr=97|qty=1,PRIVATE_IP_021,1,3,Read Holding Registers,97.0,1.0,248,2001.0580247448336,2000.892162322998,5.867113977724124,2009.5753908157349
PRIVATE_IP_021|U1|FC3|addr=3|qty=1,PRIVATE_IP_021,1,3,Read Holding Registers,3.0,1.0,248,2001.0673961331768,2001.112699508667,4.4799891588120335,2007.8631043434143
PRIVATE_IP_014|U1|FC3|addr=0|qty=22,PRIVATE_IP_014,1,3,Read Holding Registers,0.0,22.0,248,2001.0555684566498,2000.5743503570557,4.019612677032481,2007.8911304473877
PRIVATE_IP_013|U1|FC3|addr=0|qty=22,PRIVATE_IP_013,1,3,Read Holding Registers,0.0,22.0,248,2001.047739098149,2000.5991458892822,3.5775474252038553,2007.9959869384766
PRIVATE_IP_015|U1|FC3|addr=215|qty=1,PRIVATE_IP_015,1,3,Read Holding Registers,215.0,1.0,248,2001.0769790218721,2000.3917217254639,6.56255756674045,2011.7450594902039
PRIVATE_IP_015|U1|FC3|addr=1|qty=1,PRIVATE_IP_015,1,3,Read Holding Registers,1.0,1.0,248,2001.0704398155212,2000.3541707992554,5.330416141724033,2009.159231185913
