server_ip,unit_id,function_code,function_name,reference_addr,quantity,transactions,matched,unmatched,exceptions,mean_rtt_ms,median_rtt_ms,p95_rtt_ms,request_bytes_sum,response_bytes_sum
PRIVATE_IP_017,1,3,Read Holding Registers,1.0,1.0,250,250,0,250,24.19375991821289,17.151713371276855,68.05557012557985,3000.0,2250
PRIVATE_IP_018,1,3,Read Holding Registers,0.0,100.0,499,499,0,0,5.1725030184269905,5.032539367675781,7.124757766723633,5988.0,104291
PRIVATE_IP_018,1,3,Read Holding Registers,24.0,1.0,250,250,0,0,4.934669494628906,4.505276679992676,8.045005798339844,3000.0,2750
PRIVATE_IP_018,1,3,Read Holding Registers,,,1,0,1,0,,,,0.0,209
PRIVATE_IP_019,1,3,Read Holding Registers,0.0,100.0,499,499,0,0,4.816145122887376,4.848718643188477,5.790495872497559,5988.0,104291
PRIVATE_IP_019,1,3,Read Holding Registers,53.0,1.0,250,250,0,0,4.680787086486816,4.445552825927734,7.384204864501955,3000.0,2750
PRIVATE_IP_020,1,3,Read Holding Registers,0.0,100.0,499,499,0,0,5.168997453066534,5.047321319580078,6.34291172027588,5988.0,104291
PRIVATE_IP_020,1,3,Read Holding Registers,0.0,76.0,250,250,0,0,4.795801162719727,4.655241966247559,6.041133403778077,3000.0,40250
PRIVATE_IP_021,1,3,Read Holding Registers,0.0,100.0,499,499,0,0,4.940474439479545,4.997014999389648,5.906891822814941,5988.0,104291
PRIVATE_IP_022,1,3,Read Holding Registers,0.0,75.0,249,249,0,0,6.975866225828607,6.713628768920898,9.92269515991211,2988.0,39591
PRIVATE_IP_022,1,3,Read Holding Registers,3.0,1.0,249,249,0,0,6.563574434762978,6.171703338623047,10.085153579711912,2988.0,2739
PRIVATE_IP_022,1,3,Read Holding Registers,94.0,75.0,250,250,0,0,7.903721809387207,7.104396820068359,12.97787427902222,3000.0,39750
PRIVATE_IP_022,1,3,Read Holding Registers,97.0,1.0,249,249,0,0,6.580564391660882,6.095409393310547,10.135698318481445,2988.0,2739
PRIVATE_IP_023,1,3,Read Holding Registers,0.0,36.0,249,249,0,0,2.5266959485279985,2.475261688232422,3.2874584197998042,2988.0,20169
PRIVATE_IP_026,1,4,Read Input Registers,0.0,30.0,499,499,0,0,2.230404374116886,2.1021366119384766,2.919530868530274,5988.0,34431
PRIVATE_IP_010,1,3,Read Holding Registers,0.0,22.0,249,249,0,0,19.41783839919002,19.3936824798584,24.50108528137207,2988.0,13197
PRIVATE_IP_013,1,3,Read Holding Registers,0.0,22.0,250,250,0,0,19.60038471221924,19.55854892730713,24.337744712829593,3000.0,13250
PRIVATE_IP_014,1,3,Read Holding Registers,0.0,22.0,249,249,0,0,19.551886133400792,19.611597061157227,23.917865753173828,2988.0,13197
PRIVATE_IP_015,1,3,Read Holding Registers,0.0,22.0,249,249,0,0,19.46576436360677,19.230127334594727,24.12729263305664,2988.0,13197
PRIVATE_IP_016,1,3,Read Holding Registers,1.0,1.0,249,249,0,0,8.747096042556457,7.955789566040039,14.998912811279295,2988.0,2739
PRIVATE_IP_016,1,3,Read Holding Registers,2.0,123.0,499,499,0,0,5.814092192716732,5.652189254760742,8.22136402130127,5988.0,127245
PRIVATE_IP_016,1,3,Read Holding Registers,125.0,88.0,499,499,0,0,5.653664200960515,5.486726760864258,8.394598960876465,5988.0,92315
PRIVATE_IP_016,1,3,Read Holding Registers,215.0,1.0,249,249,0,0,6.312860542511844,5.847692489624023,10.555553436279297,2988.0,2739
PRIVATE_IP_016,1,3,Read Holding Registers,301.0,22.0,499,499,0,0,6.043647238630093,5.563020706176758,10.08613109588623,5988.0,26447
