server_ip,unit_id,function_code,function_name,start_addr,quantity,transactions,matched,unmatched,exceptions,mean_rtt_ms,median_rtt_ms,p95_rtt_ms,min_rtt_ms,max_rtt_ms,ci95_low_ms,ci95_high_ms,request_bytes_sum,response_bytes_sum
PRIVATE_IP_018,1,3,Read Holding Registers,0.0,100.0,499,499,0,0,5.1725030184269905,5.032539367675781,7.124757766723633,3.159761428833008,13.324260711669922,5.076758755918396,5.268247280935585,5988.0,104291
PRIVATE_IP_019,1,3,Read Holding Registers,0.0,100.0,499,499,0,0,4.816145122887376,4.848718643188477,5.790495872497559,3.216981887817383,14.46676254272461,4.745803847325957,4.886486398448795,5988.0,104291
PRIVATE_IP_020,1,3,Read Holding Registers,0.0,100.0,499,499,0,0,5.168997453066534,5.047321319580078,6.34291172027588,4.252195358276367,15.07425308227539,5.101229955843811,5.236764950289256,5988.0,104291
PRIVATE_IP_016,1,3,Read Holding Registers,2.0,123.0,499,499,0,0,5.814092192716732,5.652189254760742,8.22136402130127,3.063678741455078,14.768362045288086,5.699212879686251,5.928971505747213,5988.0,127245
PRIVATE_IP_016,1,3,Read Holding Registers,125.0,88.0,499,499,0,0,5.653664200960515,5.486726760864258,8.394598960876465,2.9540061950683594,11.893272399902344,5.538897859612525,5.768430542308505,5988.0,92315
PRIVATE_IP_016,1,3,Read Holding Registers,301.0,22.0,499,499,0,0,6.043647238630093,5.563020706176758,10.08613109588623,2.696990966796875,14.292001724243164,5.8705949825646195,6.216699494695566,5988.0,26447
PRIVATE_IP_026,1,4,Read Input Registers,0.0,30.0,499,499,0,0,2.230404374116886,2.1021366119384766,2.919530868530274,1.7712116241455078,7.90858268737793,2.1790934361248206,2.2817153121089513,5988.0,34431
PRIVATE_IP_021,1,3,Read Holding Registers,0.0,100.0,499,499,0,0,4.940474439479545,4.997014999389648,5.906891822814941,3.3240318298339844,14.469146728515625,4.867762347759493,5.013186531199597,5988.0,104291
PRIVATE_IP_017,1,3,Read Holding Registers,1.0,1.0,250,250,0,250,24.19375991821289,17.151713371276855,68.05557012557985,13.419151306152344,121.40250205993652,21.789696892166777,26.597822944259004,3000.0,2250
PRIVATE_IP_020,1,3,Read Holding Registers,0.0,76.0,250,250,0,0,4.795801162719727,4.655241966247559,6.041133403778077,3.8187503814697266,7.469892501831055,4.714910132057986,4.8766921933814675,3000.0,40250
PRIVATE_IP_018,1,3,Read Holding Registers,24.0,1.0,250,250,0,0,4.934669494628906,4.505276679992676,8.045005798339844,2.6559829711914062,12.10641860961914,4.728789511831425,5.140549477426387,3000.0,2750
PRIVATE_IP_019,1,3,Read Holding Registers,53.0,1.0,250,250,0,0,4.680787086486816,4.445552825927734,7.384204864501955,2.550840377807617,13.407230377197266,4.505684470193177,4.8558897027804555,3000.0,2750
PRIVATE_IP_022,1,3,Read Holding Registers,94.0,75.0,250,250,0,0,7.903721809387207,7.104396820068359,12.97787427902222,4.362344741821289,32.228946685791016,7.528021130702018,8.279422488072395,3000.0,39750
PRIVATE_IP_013,1,3,Read Holding Registers,0.0,22.0,250,250,0,0,19.60038471221924,19.55854892730713,24.337744712829593,13.822317123413086,26.670217514038086,19.232038101268852,19.968731323169624,3000.0,13250
PRIVATE_IP_010,1,3,Read Holding Registers,0.0,22.0,249,249,0,0,19.41783839919002,19.3936824798584,24.50108528137207,14.1448974609375,27.51612663269043,19.02657585798367,19.809100940396373,2988.0,13197
PRIVATE_IP_022,1,3,Read Holding Registers,0.0,75.0,249,249,0,0,6.975866225828607,6.713628768920898,9.92269515991211,3.6029815673828125,16.163349151611328,6.761299176480671,7.190433275176543,2988.0,39591
PRIVATE_IP_016,1,3,Read Holding Registers,1.0,1.0,249,249,0,0,8.747096042556457,7.955789566040039,14.998912811279295,3.6847591400146484,23.13065528869629,8.324553254879696,9.169638830233218,2988.0,2739
PRIVATE_IP_023,1,3,Read Holding Registers,0.0,36.0,249,249,0,0,2.5266959485279985,2.475261688232422,3.2874584197998042,1.7580986022949219,5.20634651184082,2.472851206887657,2.58054069016834,2988.0,20169
PRIVATE_IP_022,1,3,Read Holding Registers,97.0,1.0,249,249,0,0,6.580564391660882,6.095409393310547,10.135698318481445,3.3109188079833984,14.582395553588867,6.35753618102878,6.8035926022929845,2988.0,2739
PRIVATE_IP_022,1,3,Read Holding Registers,3.0,1.0,249,249,0,0,6.563574434762978,6.171703338623047,10.085153579711912,3.703594207763672,16.172409057617188,6.345535589457256,6.781613280068699,2988.0,2739
PRIVATE_IP_014,1,3,Read Holding Registers,0.0,22.0,249,249,0,0,19.551886133400792,19.611597061157227,23.917865753173828,13.853788375854492,25.6350040435791,19.20105582901424,19.902716437787344,2988.0,13197
PRIVATE_IP_015,1,3,Read Holding Registers,0.0,22.0,249,249,0,0,19.46576436360677,19.230127334594727,24.12729263305664,13.931035995483398,27.54497528076172,19.092132608906258,19.83939611830728,2988.0,13197
PRIVATE_IP_016,1,3,Read Holding Registers,215.0,1.0,249,249,0,0,6.312860542511844,5.847692489624023,10.555553436279297,2.696514129638672,14.116764068603516,6.046656807928855,6.579064277094833,2988.0,2739
PRIVATE_IP_018,1,3,Read Holding Registers,,,1,0,1,0,,,,,,,,0.0,209
